id,username,song_title,total_stream_time,country,last_stream_date,last_device_used
1,Anomaly,New Jeans,11868,Australia,2024-07-26,Tablet
2,Asmongold,OMG,10016,Argentina,2024-10-03,Smart TV
3,sho12tpeeps,Hype Boy,12242,Saudi Arabia,2024-02-08,Desktop
4,ibai,Cookie,19002,Chile,2024-12-02,Smart TV
5,sodapoppin,Ditto,11640,Italy,2024-12-01,Desktop
6,alanzoka,Attention,10207,Kazakhstan,2024-01-10,Mobile
7,mellychloe,New Jeans,11481,Chile,2024-11-05,Smart TV
8,QueenLisa,Attention,10729,Vietnam,2024-02-05,Desktop
9,TheKrieg,Super Shy,12376,Russia,2024-01-03,Desktop
10,CohhCarnage,Hype Boy,12234,Austria,2024-02-09,Smart TV
11,Kalguk5u,Cookie,10281,South Korea,2024-11-15,Tablet
12,MontanaBlack88,Hype Boy,10867,Italy,2024-07-17,Desktop
13,Castro_1021,Attention,11649,Mexico,2024-07-06,Smart TV
14,JohnnyLee,Ditto,10684,Mexico,2024-12-12,Desktop
15,mangoTea,ETA,12928,Colombia,2024-10-10,Smart TV
16,phs1405,Super Shy,10219,Italy,2024-06-22,Mobile
17,HasanAbi,Cool With You,11538,Malaysia,2024-09-16,Tablet
18,Lord_Kebun,Super Shy,10183,Israel,2024-02-08,Desktop
19,YoDa,New Jeans,11587,Uzbekistan,2024-08-16,Mobile
20,Go2Hub,Hype Boy,13148,Venezuela,2024-12-17,Smart TV
21,Pestily,Attention,11630,Turkey,2024-09-26,Smart TV
22,DrLupo,Attention,10851,Sri Lanka,2024-06-25,Mobile
23,nuGeenie,New Jeans,11295,Turkey,2024-06-13,Smart TV
24,jennieyu,Cookie,13111,Spain,2024-02-25,Desktop
25,RocketLeague,ASAP,10210,Pakistan,2024-12-04,Desktop
26,ROSHTEIN,Ditto,10560,Australia,2024-11-12,Mobile
27,MOONMOON,Super Shy,12589,France,2024-11-15,Desktop
28,Evelone192,ETA,11860,Norway,2024-09-02,Tablet
29,DrDisrespect,Cool With You,11549,Netherlands,2024-12-14,Mobile
30,Solary,ASAP,12902,Japan,2024-03-22,Desktop
31,Clix,Cool With You,12010,France,2024-12-17,Tablet
32,nl_Kripp,Ditto,19847,Czech Republic,2024-03-17,Smart TV
33,Fresh,ETA,10993,Egypt,2024-09-04,Desktop
34,Gotaga,OMG,10625,UAE,2024-07-27,Desktop
35,Myth,Super Shy,10929,Finland,2024-02-19,Desktop
36,Trymacs,Cookie,10686,South Korea,2024-11-08,Desktop
37,mijiniee,Attention,11040,Morocco,2024-02-21,Mobile
38,BeyondTheSummit,Hype Boy,12065,Qatar,2024-02-16,Tablet
39,ronaldo,Hype Boy,10665,Brazil,2024-03-28,Desktop
40,Sarahs,Attention,13135,Kuwait,2024-06-07,Mobile
41,honeyJeans,Hype Boy,10957,Hungary,2024-12-13,Tablet
42,NoWay4u_Sir,New Jeans,11108,Canada,2024-04-13,Mobile
43,Quin69,ASAP,12331,South Africa,2024-10-25,Mobile
44,hanguk1,Super Shy,13250,Morocco,2024-07-18,Tablet
45,Gorgc,ETA,12172,Morocco,2024-12-07,Desktop
46,sneakylol,Hype Boy,12836,Netherlands,2024-12-15,Tablet
47,juansguarnizo,ETA,11510,Mexico,2024-11-26,Smart TV
48,Symfuhny,Super Shy,21464,Italy,2024-09-08,Smart TV
49,fps_shaka,New Jeans,12969,Romania,2024-04-17,Smart TV
50,Yassuo,New Jeans,11372,Turkey,2024-11-25,Mobile
51,Bugha,New Jeans,10446,Egypt,2024-08-11,Mobile
52,dasMEHDI,Super Shy,10107,Israel,2024-04-17,Mobile
53,seoul101,Attention,11984,Brazil,2024-05-16,Smart TV
54,Lily_chan,Cookie,10946,Chile,2024-08-23,Desktop
55,jellyfish,New Jeans,12530,Philippines,2024-12-08,Smart TV
56,Meow4,OMG,12889,Austria,2024-09-26,Desktop
57,NOBRU,ASAP,12454,Indonesia,2024-12-18,Tablet
58,ONSCREEN,Ditto,10717,Italy,2024-04-13,Mobile
59,SilverName,OMG,11838,Switzerland,2024-01-02,Desktop
60,SolaryFear,ETA,13157,Morocco,2024-12-19,Smart TV
61,forsen,Cool With You,12873,Kazakhstan,2024-04-17,Desktop
62,Papaplatte,Super Shy,10424,Russia,2024-09-16,Desktop
63,stylishnoob4,ASAP,10350,Sri Lanka,2024-10-06,Mobile
64,pokimane,ASAP,11928,Morocco,2024-10-07,Tablet
65,Swagg,OMG,12390,Austria,2024-06-22,Mobile
66,Baiano,ASAP,11295,Japan,2024-11-12,Tablet
67,12HyeIn,OMG,12924,South Africa,2024-07-14,Smart TV
68,NickEh30,ASAP,10627,South Africa,2024-06-27,Desktop
69,Cellbit,OMG,10102,Israel,2024-05-24,Desktop
70,GRONKH,Ditto,12199,Thailand,2024-08-16,Mobile
71,LVNDMARK,Super Shy,11560,Vietnam,2024-12-12,Tablet
72,Vader,Hype Boy,13054,Venezuela,2024-01-21,Smart TV
73,buster,Hype Boy,11305,Venezuela,2024-09-28,Tablet
74,Maximilian_DOOD,OMG,10165,Sri Lanka,2024-08-01,Desktop
75,Sacriel,Cool With You,11139,New Zealand,2024-07-03,Mobile
76,ZeratoR,Super Shy,10829,USA,2024-02-21,Mobile
77,Stray228,Cool With You,11736,Thailand,2024-03-09,Mobile
78,AdmiralBulldog,Cool With You,13026,South Korea,2024-12-01,Smart TV
79,lestream,Cool With You,11536,Egypt,2024-09-11,Tablet
80,Rainbow6,Cookie,12392,Nepal,2024-09-25,Smart TV
81,elded,New Jeans,12905,UK,2024-09-26,Mobile
82,Rakin,ETA,10823,Finland,2024-02-15,Smart TV
83,Nightblue3,Ditto,11008,Portugal,2024-04-04,Desktop
84,shroud,Ditto,12118,Poland,2024-11-16,Tablet
85,ybicanoooobov,OMG,12229,New Zealand,2024-09-02,Mobile
86,Reborn_,Hype Boy,10977,UAE,2024-07-24,Smart TV
87,benjyfishy,Hype Boy,12048,Brazil,2024-09-23,Desktop
88,SypherPK,OMG,10727,Czech Republic,2024-08-16,Smart TV
89,Minki_98,Cookie,11899,Ukraine,2024-07-21,Desktop
90,Elraenn,ASAP,11565,Morocco,2024-03-07,Desktop
91,TeePee,ETA,21902,Czech Republic,2024-11-24,Smart TV
92,DreamHackCS,Super Shy,10570,Russia,2024-01-23,Tablet
93,cloakzy,OMG,10242,South Korea,2024-12-09,Desktop
94,dakotaz,Attention,11770,Morocco,2024-09-21,Smart TV
95,uzra,ASAP,10872,Netherlands,2024-07-03,Desktop
96,aceu,ASAP,12140,Pakistan,2024-10-08,Smart TV
97,einstEIN,Cookie,10701,Israel,2024-01-10,Mobile
98,SolarChoi,Cool With You,12725,South Korea,2024-08-17,Tablet
99,Agraelus,Attention,11021,Kenya,2024-02-17,Smart TV
100,Scarra,Super Shy,12080,Mexico,2024-04-24,Tablet
101,Sijeuni,OMG,11887,South Africa,2024-08-22,Smart TV
102,Brunenger,Attention,11712,Denmark,2024-04-06,Tablet
103,UTada,Cookie,11124,Colombia,2024-12-10,Tablet
104,Elajjaz,Super Shy,10458,Romania,2024-06-13,Desktop
105,alleyaa,ETA,19850,Ukraine,2024-10-17,Smart TV
106,Hiko,Super Shy,10654,Uzbekistan,2024-02-02,Tablet
107,Hikaru,Ditto,12374,Peru,2024-01-10,Smart TV
108,ElmiilloR,ASAP,11070,India,2024-12-21,Mobile
109,x2Twins,Cookie,12806,Kenya,2024-10-15,Desktop
110,bratishkinoff,New Jeans,10775,France,2024-11-06,Tablet
111,Esfandia,OMG,10983,Ukraine,2024-02-22,Tablet
112,BLASTP,Cookie,12820,Indonesia,2024-01-02,Desktop
113,POW3Rpuffgal,Cool With You,13056,India,2024-08-11,Tablet
114,ZainXVII,Ditto,10981,China,2024-03-21,Smart TV
115,Method,ETA,11296,Poland,2024-06-08,Mobile
116,coscu,Cookie,10691,Denmark,2024-11-25,Smart TV
117,MY_ALKAPONE,Attention,11745,Czech Republic,2024-04-04,Smart TV
118,Thijs,Ditto,12256,Turkey,2024-09-11,Desktop
119,ludwig,Attention,11376,Egypt,2024-11-07,Smart TV
120,Jinnytty,Cool With You,11798,Canada,2024-11-28,Desktop
121,KendineMuzisyen,Super Shy,11374,Nigeria,2024-12-03,Mobile
122,jukes,ASAP,11712,Norway,2024-05-09,Desktop
123,Kamet0,ETA,11429,Vietnam,2024-06-28,Desktop
124,Destiny,ETA,10238,Norway,2024-06-10,Desktop
125,RATIRL,Hype Boy,11230,Italy,2024-05-14,Smart TV
126,Folagors,Ditto,10637,Sri Lanka,2024-02-22,Tablet
127,Locklear,OMG,13049,Thailand,2024-02-07,Tablet
128,Insomniac,Cookie,12924,France,2024-08-15,Desktop
129,Xayoo_,Cool With You,12432,Peru,2024-09-17,Tablet
130,cheeseburgr,Hype Boy,12882,Pakistan,2024-06-04,Mobile
131,HusKerrs,Super Shy,10435,Sweden,2024-02-01,Tablet
132,scump,Hype Boy,10270,Norway,2024-09-15,Tablet
133,Amouranth,Super Shy,33185,Indonesia,2024-04-17,Smart TV
134,ClassyBeef,Cookie,10386,Russia,2024-01-12,Mobile
135,Kitboga,ETA,12923,Romania,2024-08-03,Tablet
136,Squeezie,ASAP,10023,Portugal,2024-07-08,Mobile
